Source,Target,Weight,Type,Layer,Year
BEL,COD,1,Directed,Colonial,static
DEU,GHA,1,Directed,Colonial,static
ESP,ARG,1,Directed,Colonial,static
ESP,BOL,1,Directed,Colonial,static
ESP,CHL,1,Directed,Colonial,static
ESP,COL,1,Directed,Colonial,static
ESP,DOM,1,Directed,Colonial,static
ESP,ECU,1,Directed,Colonial,static
ESP,GTM,1,Directed,Colonial,static
ESP,MEX,1,Directed,Colonial,static
ESP,NIC,1,Directed,Colonial,static
ESP,PER,1,Directed,Colonial,static
ESP,PHL,1,Directed,Colonial,static
ESP,PRY,1,Directed,Colonial,static
ESP,SLV,1,Directed,Colonial,static
ESP,URY,1,Directed,Colonial,static
ESP,VEN,1,Directed,Colonial,static
FRA,BEN,1,Directed,Colonial,static
FRA,BFA,1,Directed,Colonial,static
FRA,CAN,1,Directed,Colonial,static
FRA,CMR,1,Directed,Colonial,static
FRA,DJI,1,Directed,Colonial,static
FRA,DZA,1,Directed,Colonial,static
FRA,GAB,1,Directed,Colonial,static
FRA,GIN,1,Directed,Colonial,static
FRA,KHM,1,Directed,Colonial,static
FRA,LAO,1,Directed,Colonial,static
FRA,LBN,1,Directed,Colonial,static
FRA,MAR,1,Directed,Colonial,static
FRA,MDG,1,Directed,Colonial,static
FRA,MLI,1,Directed,Colonial,static
FRA,MRT,1,Directed,Colonial,static
FRA,MUS,1,Directed,Colonial,static
FRA,NER,1,Directed,Colonial,static
FRA,SEN,1,Directed,Colonial,static
FRA,TCD,1,Directed,Colonial,static
FRA,TGO,1,Directed,Colonial,static
FRA,TUN,1,Directed,Colonial,static
FRA,VNM,1,Directed,Colonial,static
GBR,ARE,1,Directed,Colonial,static
GBR,AUS,1,Directed,Colonial,static
GBR,BGD,1,Directed,Colonial,static
GBR,BHR,1,Directed,Colonial,static
GBR,BLZ,1,Directed,Colonial,static
GBR,BWA,1,Directed,Colonial,static
GBR,CAN,1,Directed,Colonial,static
GBR,EGY,1,Directed,Colonial,static
GBR,ERI,1,Directed,Colonial,static
GBR,GHA,1,Directed,Colonial,static
GBR,GUY,1,Directed,Colonial,static
GBR,IND,1,Directed,Colonial,static
GBR,IRQ,1,Directed,Colonial,static
GBR,JOR,1,Directed,Colonial,static
GBR,KWT,1,Directed,Colonial,static
GBR,LKA,1,Directed,Colonial,static
GBR,MUS,1,Directed,Colonial,static
GBR,MWI,1,Directed,Colonial,static
GBR,MYS,1,Directed,Colonial,static
GBR,NGA,1,Directed,Colonial,static
GBR,NZL,1,Directed,Colonial,static
GBR,PAK,1,Directed,Colonial,static
GBR,PNG,1,Directed,Colonial,static
GBR,QAT,1,Directed,Colonial,static
GBR,SGP,1,Directed,Colonial,static
GBR,SOM,1,Directed,Colonial,static
GBR,TTO,1,Directed,Colonial,static
GBR,TZA,1,Directed,Colonial,static
GBR,USA,1,Directed,Colonial,static
GBR,ZAF,1,Directed,Colonial,static
GBR,ZWE,1,Directed,Colonial,static
ITA,ERI,1,Directed,Colonial,static
ITA,LBY,1,Directed,Colonial,static
ITA,SOM,1,Directed,Colonial,static
NLD,IDN,1,Directed,Colonial,static
NLD,SUR,1,Directed,Colonial,static
NLD,ZAF,1,Directed,Colonial,static
PRT,AGO,1,Directed,Colonial,static
PRT,CPV,1,Directed,Colonial,static
PRT,MOZ,1,Directed,Colonial,static
PRT,URY,1,Directed,Colonial,static
BEL,BDI,1,Directed,Colonial,static
BEL,RWA,1,Directed,Colonial,static
DEU,BDI,1,Directed,Colonial,static
DEU,CMR,1,Directed,Colonial,static
DEU,MHL,1,Directed,Colonial,static
DEU,NAM,1,Directed,Colonial,static
DEU,NRU,1,Directed,Colonial,static
DEU,PLW,1,Directed,Colonial,static
DEU,RWA,1,Directed,Colonial,static
DEU,SLB,1,Directed,Colonial,static
DEU,TGO,1,Directed,Colonial,static
DEU,TZA,1,Directed,Colonial,static
DEU,WSM,1,Directed,Colonial,static
ESP,BLZ,1,Directed,Colonial,static
ESP,CRI,1,Directed,Colonial,static
ESP,CUB,1,Directed,Colonial,static
ESP,FSM,1,Directed,Colonial,static
ESP,GNQ,1,Directed,Colonial,static
ESP,HND,1,Directed,Colonial,static
ESP,JAM,1,Directed,Colonial,static
ESP,MAR,1,Directed,Colonial,static
ESP,PAN,1,Directed,Colonial,static
ESP,PLW,1,Directed,Colonial,static
ESP,TTO,1,Directed,Colonial,static
FRA,CAF,1,Directed,Colonial,static
FRA,COG,1,Directed,Colonial,static
FRA,COM,1,Directed,Colonial,static
FRA,DMA,1,Directed,Colonial,static
FRA,GRD,1,Directed,Colonial,static
FRA,HTI,1,Directed,Colonial,static
FRA,LCA,1,Directed,Colonial,static
FRA,SYC,1,Directed,Colonial,static
FRA,SYR,1,Directed,Colonial,static
FRA,VUT,1,Directed,Colonial,static
GBR,ATG,1,Directed,Colonial,static
GBR,BHS,1,Directed,Colonial,static
GBR,BRB,1,Directed,Colonial,static
GBR,BRN,1,Directed,Colonial,static
GBR,BTN,1,Directed,Colonial,static
GBR,CYP,1,Directed,Colonial,static
GBR,DMA,1,Directed,Colonial,static
GBR,FJI,1,Directed,Colonial,static
GBR,GMB,1,Directed,Colonial,static
GBR,GNQ,1,Directed,Colonial,static
GBR,GRD,1,Directed,Colonial,static
GBR,ISR,1,Directed,Colonial,static
GBR,JAM,1,Directed,Colonial,static
GBR,KEN,1,Directed,Colonial,static
GBR,KIR,1,Directed,Colonial,static
GBR,KNA,1,Directed,Colonial,static
GBR,LBY,1,Directed,Colonial,static
GBR,LCA,1,Directed,Colonial,static
GBR,LSO,1,Directed,Colonial,static
GBR,MDV,1,Directed,Colonial,static
GBR,MMR,1,Directed,Colonial,static
GBR,NAM,1,Directed,Colonial,static
GBR,NRU,1,Directed,Colonial,static
GBR,SDN,1,Directed,Colonial,static
GBR,SEN,1,Directed,Colonial,static
GBR,SLB,1,Directed,Colonial,static
GBR,SLE,1,Directed,Colonial,static
GBR,SWZ,1,Directed,Colonial,static
GBR,SYC,1,Directed,Colonial,static
GBR,TON,1,Directed,Colonial,static
GBR,TUV,1,Directed,Colonial,static
GBR,UGA,1,Directed,Colonial,static
GBR,VCT,1,Directed,Colonial,static
GBR,VUT,1,Directed,Colonial,static
GBR,WSM,1,Directed,Colonial,static
GBR,YEM,1,Directed,Colonial,static
GBR,ZMB,1,Directed,Colonial,static
NLD,GUY,1,Directed,Colonial,static
PRT,BRA,1,Directed,Colonial,static
PRT,GHA,1,Directed,Colonial,static
PRT,GNB,1,Directed,Colonial,static
PRT,GNQ,1,Directed,Colonial,static
PRT,LKA,1,Directed,Colonial,static
PRT,MYS,1,Directed,Colonial,static
PRT,STP,1,Directed,Colonial,static
PRT,TLS,1,Directed,Colonial,static
